date,comp_id,open,close,high,low,adjusted_close,volume
10/31/19,3,144.9,143.37,144.93,142.99,143.37,24605100
10/30/19,3,143.52,144.61,145,142.79,144.61,18496600
10/29/19,3,144.08,142.83,144.5,142.65,142.83,20589500
10/28/19,3,144.4,144.19,145.67,143.51,144.19,35280100
10/25/19,3,139.34,140.73,141.14,139.2,140.73,25959700
10/24/19,3,139.39,139.94,140.42,138.67,139.94,37029300
10/23/19,3,136.88,137.24,137.45,135.61,137.24,29844600
10/22/19,3,138.97,136.37,140.01,136.26,136.37,27431000
10/21/19,3,138.45,138.43,138.5,137.01,138.43,20078200
10/18/19,3,139.76,137.41,140,136.56,137.41,32273500
10/17/19,3,140.95,139.69,141.42,139.02,139.69,21460600
10/16/19,3,140.79,140.41,140.99,139.53,140.41,20751600
10/15/19,3,140.06,141.57,141.79,139.81,141.57,19695700
10/31/19,5,1260,1258.8,1266.52,1249.48,1258.8,1595000
10/30/19,5,1255.15,1260.7,1268.02,1250.65,1260.7,1460200
10/29/19,5,1276,1260.66,1280.8,1255.61,1260.66,2632700
10/28/19,5,1275,1288.98,1299.24,1272.3101,1288.98,3271400
10/25/19,5,1252,1264.3,1268,1249.15,1264.3,1355200
10/24/19,5,1259.11,1259.11,1262.9,1252.35,1259.11,1011200
10/23/19,5,1240.21,1257.63,1258.04,1240.21,1257.63,1064100
10/22/19,5,1244.48,1241.2,1248.73,1239.85,1241.2,1143100
10/21/19,5,1248.7,1244.28,1253.51,1239.99,1244.28,904700
10/18/19,5,1254.6899,1244.41,1258.11,1240.14,1244.41,1581200
10/17/19,5,1251.4,1252.8,1263.75,1249.87,1252.8,1047900
10/16/19,5,1241.8101,1243,1254.1899,1238.53,1243,1149300
10/15/19,5,1221.5,1242.24,1247.13,1220.92,1242.24,1379200
10/31/19,4,291,287.41,291.45,284.78,287.41,5090000
10/30/19,4,284.34,291.45,293.49,283,291.45,9345600
10/29/19,4,281.87,281.21,284.41,277.55,281.21,4356200
10/28/19,4,278.05,281.86,285.75,277.35,281.86,6248400
10/25/19,4,270.68,276.82,277.77,270.18,276.82,4747800
10/24/19,4,271.81,271.5,274.02,268.8,271.5,4827400
10/23/19,4,268.06,271.27,273.92,266.63,271.27,7133500
10/22/19,4,271.16,266.69,275.41,265.8,266.69,11802400
10/21/19,4,272.89,278.05,279.94,269,278.05,12599200
10/18/19,4,289.36,275.3,290.9,273.36,275.3,23429900
10/17/19,4,304.49,293.35,308.75,288.3,293.35,38258900
10/16/19,4,283.12,286.28,288.17,280.74,286.28,16175900
10/15/19,4,283.82,284.25,285.87,279.4,284.25,7685600
10/31/19,1,1775.99,1776.66,1792,1771.48,1776.66,2781200
10/30/19,1,1760.24,1779.99,1782.38,1759.12,1779.99,2449400
10/29/19,1,1774.8101,1762.71,1777,1755.8101,1762.71,2276900
10/28/19,1,1748.0601,1777.08,1778.7,1742.5,1777.08,3708900
10/25/19,1,1697.55,1761.33,1764.21,1695,1761.33,9626400
10/24/19,1,1771.09,1780.78,1788.34,1760.27,1780.78,4446100
10/23/19,1,1761.3,1762.17,1770.05,1742,1762.17,2138200
10/22/19,1,1788.15,1765.73,1789.78,1762,1765.73,2111700
10/21/19,1,1769.66,1785.66,1785.88,1765,1785.66,2130400
10/18/19,1,1787.8,1757.51,1793.98,1749.2,1757.51,3362500
10/17/19,1,1796.49,1787.48,1798.85,1782.02,1787.48,2647400
10/16/19,1,1773.33,1777.4301,1786.24,1770.52,1777.4301,2763400
10/15/19,1,1742.14,1767.38,1776.45,1740.62,1767.38,3111700
10/31/19,2,47.6,47.51,47.65,47.1,47.51,12488300
10/30/19,2,47.3,47.56,47.58,47.16,47.56,12062000
10/29/19,2,47,47.24,47.43,46.91,47.24,13713900
10/28/19,2,47.15,47.17,47.6,47.06,47.17,13859700
10/25/19,2,46.54,46.9,46.99,46.46,46.9,15701200
10/24/19,2,47.23,46.41,47.23,46.1,46.41,18338800
10/23/19,2,47.47,47.05,47.7,46.84,47.05,15647100
10/22/19,2,47.5,47.55,47.89,47.4,47.55,15067100
10/21/19,2,47.14,47.39,47.48,46.97,47.39,13277700
10/18/19,2,47.1,46.71,47.27,46.66,46.71,17226200
10/17/19,2,47.15,47.03,47.3,46.6,47.03,14352400
10/16/19,2,46.36,46.79,46.88,46.32,46.79,16454200
10/15/19,2,46.25,46.36,46.58,46.04,46.36,18794400
